127.0.0.1, 2016-10-21 20:13:29, GET, /favicon.ico, HTTP/1.1, 400, 0.003861
127.0.0.1, 2016-10-21 20:13:35, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.068699
127.0.0.1, 2016-10-21 20:13:35, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.002937
127.0.0.1, 2016-10-21 20:13:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000895
127.0.0.1, 2016-10-21 20:13:37, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.077266
127.0.0.1, 2016-10-21 20:13:37, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 304, 0.001331
127.0.0.1, 2016-10-21 20:13:37, GET, /favicon.ico, HTTP/1.1, 400, 0.012212
127.0.0.1, 2016-10-21 20:13:38, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.064932
127.0.0.1, 2016-10-21 20:13:38, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 304, 0.001049
127.0.0.1, 2016-10-21 20:13:38, GET, /favicon.ico, HTTP/1.1, 400, 0.002647
127.0.0.1, 2016-10-21 20:13:47, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 304, 0.001030
127.0.0.1, 2016-10-21 20:14:08, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.085144
127.0.0.1, 2016-10-21 20:14:08, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001123
127.0.0.1, 2016-10-21 20:14:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000882
127.0.0.1, 2016-10-21 20:14:15, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.067299
127.0.0.1, 2016-10-21 20:14:15, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.003893
127.0.0.1, 2016-10-21 20:14:15, GET, /favicon.ico, HTTP/1.1, 400, 0.010097
127.0.0.1, 2016-10-21 20:14:19, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.062520
127.0.0.1, 2016-10-21 20:14:19, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001107
127.0.0.1, 2016-10-21 20:14:19, GET, /favicon.ico, HTTP/1.1, 400, 0.003009
127.0.0.1, 2016-10-21 20:14:26, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.065941
127.0.0.1, 2016-10-21 20:14:26, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001980
127.0.0.1, 2016-10-21 20:14:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001444
127.0.0.1, 2016-10-21 20:14:36, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.068798
127.0.0.1, 2016-10-21 20:14:36, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.006061
127.0.0.1, 2016-10-21 20:14:36, GET, /favicon.ico, HTTP/1.1, 400, 0.002314
127.0.0.1, 2016-10-21 20:15:33, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.062616
127.0.0.1, 2016-10-21 20:15:33, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.004796
127.0.0.1, 2016-10-21 20:15:33, GET, /favicon.ico, HTTP/1.1, 400, 0.001081
127.0.0.1, 2016-10-21 20:15:58, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.066586
127.0.0.1, 2016-10-21 20:15:58, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001347
127.0.0.1, 2016-10-21 20:15:58, GET, /favicon.ico, HTTP/1.1, 400, 0.001041
127.0.0.1, 2016-10-21 20:16:06, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.081203
127.0.0.1, 2016-10-21 20:16:06, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.006987
127.0.0.1, 2016-10-21 20:16:06, GET, /favicon.ico, HTTP/1.1, 400, 0.007996
127.0.0.1, 2016-10-21 20:16:13, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.095685
127.0.0.1, 2016-10-21 20:16:14, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.006682
127.0.0.1, 2016-10-21 20:16:14, GET, /favicon.ico, HTTP/1.1, 400, 0.001259
127.0.0.1, 2016-10-21 20:16:21, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.067011
127.0.0.1, 2016-10-21 20:16:21, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001451
127.0.0.1, 2016-10-21 20:16:21, GET, /favicon.ico, HTTP/1.1, 400, 0.002249
127.0.0.1, 2016-10-21 20:17:35, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.070348
127.0.0.1, 2016-10-21 20:17:35, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 304, 0.001458
127.0.0.1, 2016-10-21 20:17:35, GET, /favicon.ico, HTTP/1.1, 400, 0.004036
127.0.0.1, 2016-10-21 20:17:49, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.072729
127.0.0.1, 2016-10-21 20:17:49, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001221
127.0.0.1, 2016-10-21 20:17:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000874
127.0.0.1, 2016-10-21 20:19:10, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.067854
127.0.0.1, 2016-10-21 20:19:10, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.015380
127.0.0.1, 2016-10-21 20:19:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000901
127.0.0.1, 2016-10-21 20:20:27, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.064579
127.0.0.1, 2016-10-21 20:20:27, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001194
127.0.0.1, 2016-10-21 20:20:27, GET, /favicon.ico, HTTP/1.1, 400, 0.001057
127.0.0.1, 2016-10-21 20:20:30, POST, /PolarisProject/default/index, HTTP/1.1, 200, 0.084834
127.0.0.1, 2016-10-21 20:20:30, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 304, 0.001971
127.0.0.1, 2016-10-21 20:20:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000891
127.0.0.1, 2016-10-21 20:20:55, POST, /PolarisProject/default/index, HTTP/1.1, 200, 0.070343
127.0.0.1, 2016-10-21 20:20:55, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001147
127.0.0.1, 2016-10-21 20:20:55, GET, /favicon.ico, HTTP/1.1, 400, 0.001440
127.0.0.1, 2016-10-21 20:20:57, POST, /PolarisProject/default/index, HTTP/1.1, 200, 0.064353
127.0.0.1, 2016-10-21 20:20:57, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 304, 0.001088
